transaction_datetime,category,account,amount,currency,note
2016-06-23 18:21:58,增肥,One,-99.00,TWD,Subway
2016-06-23 23:36:39,增肥,One,-125.00,TWD,宵夜燒烤
2016-06-24 00:00:00,增肥,One,-340.00,TWD,橘子咖啡
2016-06-24 21:42:34,增肥,One,-148.00,TWD,燒烤
2016-06-24 21:43:00,增肥,One,-30.00,TWD,蔥油餅
2016-06-24 21:43:19,增肥,One,-50.00,TWD,照燒皮蛋
2016-06-24 21:43:55,增肥,One,-35.00,TWD,豆漿紅茶
2016-06-25 17:08:18,增肥,One,-140.00,TWD,白砂糖*7
2016-06-25 23:36:39,增肥,One,-99.00,TWD,Subway
2016-06-26 16:09:39,增肥,One,-99.00,TWD,Subway
2016-06-26 16:10:18,增肥,One,-145.00,TWD,Scone
2016-06-27 16:50:58,增肥,One,-99.00,TWD,Subway
2016-06-27 16:51:09,增肥,One,-100.00,TWD,牛肉麵
2016-06-27 20:25:38,增肥,One,-25.00,TWD,
2016-06-28 12:59:17,增肥,One,-99.00,TWD,Subway
2016-06-28 12:59:17,增肥,One,-25.00,TWD,餅乾
2016-06-28 13:14:57,增肥,One,-120.00,TWD,牛肉麵
2016-06-28 23:44:58,增肥,One,-125.00,TWD,宵夜
2016-06-29 12:59:17,增肥,One,-120.00,TWD,中餐拉麵
2016-06-29 15:34:50,苦口,One,-190.00,TWD,鼻子藥
2016-06-29 20:09:23,一起,One,-45.00,TWD,宜蘭停車費
2016-06-29 20:09:48,增肥,One,-100.00,TWD,
2016-06-30 12:59:05,增肥,One,-80.00,TWD,中餐
2016-06-30 16:58:37,增肥,One,-99.00,TWD,Subway
2016-07-01 18:48:45,增肥,One,-45.00,TWD,早餐
2016-07-01 18:50:00,增肥,One,-30.00,TWD,中餐
2016-07-02 00:00:00,一起,One,-150.00,TWD,計程車
2016-07-02 16:47:07,補給,One,1200.00,TWD,Musee 餐錢蒐集現金
2016-07-02 16:47:07,增肥,One,-700.00,TWD,7/1 燒烤補錢給 Emma
2016-07-03 17:02:53,一起,One,-150.00,TWD,停車費
2016-07-03 19:13:31,增肥,One,-160.00,TWD,麥當勞
2016-07-03 19:13:31,遮羞,One,-428.00,TWD,剪頭髮
2016-07-04 12:37:58,增肥,One,-99.00,TWD,Subway
2016-07-04 20:22:51,增肥,One,-433.00,TWD,豬排晚餐
2016-07-05 09:50:59,增肥,One,-99.00,TWD,Subway
2016-07-06 02:20:46,補給,One,8000.00,TWD,媽媽補助高鐵&租車
2016-07-06 11:44:35,增肥,One,-99.00,TWD,Subway
2016-07-07 15:00:17,一起,One,-3699.00,TWD,行車記錄器
2016-07-07 16:45:31,汽車,One,-60.00,TWD,車鑰匙電池
2016-07-07 17:16:25,增肥,One,-90.00,TWD,珍珠奶茶
2016-07-07 19:54:34,增肥,One,-180.00,TWD,爆米花飲料吉拿棒
2016-07-08 19:43:05,增肥,One,-99.00,TWD,Subway
2016-07-08 19:43:13,增肥,One,-98.00,TWD,711
2016-07-09 00:52:28,增肥,One,-250.00,TWD,Beer
2016-07-09 21:55:41,增肥,One,-100.00,TWD,白砂糖*5
2016-07-09 21:55:41,增肥,One,-99.00,TWD,Subway
2016-07-09 23:02:07,增肥,One,-120.00,TWD,宵夜
2016-07-10 11:14:36,增肥,One,-200.00,TWD,早餐
2016-07-10 20:48:58,增肥,One,-140.00,TWD,
2016-07-11 01:51:41,增肥,One,-110.00,TWD,中餐
2016-07-12 11:42:01,增肥,One,-99.00,TWD,Subway
2016-07-12 22:44:28,增肥,One,-99.00,TWD,Subway
2016-07-13 11:46:09,增肥,One,-99.00,TWD,Subway
2016-07-13 20:00:02,增肥,One,-200.00,TWD,晚餐
2016-07-13 21:13:08,增肥,One,-50.00,TWD,
2016-07-14 21:56:59,增肥,One,-285.00,TWD,中餐
2016-07-14 21:56:59,增肥,One,-450.00,TWD,晚餐
2016-07-15 13:52:03,增肥,One,-95.00,TWD,中餐
2016-07-15 17:14:14,增肥,One,-99.00,TWD,Subway
2016-07-16 21:03:56,增肥,One,-320.00,TWD,晚餐
2016-07-16 22:02:21,增肥,One,-99.00,TWD,Subway
2016-07-17 22:37:36,增肥,One,-179.00,TWD,Subway
2016-07-17 23:24:46,補給,One,3000.00,TWD,補助金
2016-07-19 19:16:10,增肥,One,-121.00,TWD,麥當勞
2016-07-19 19:43:48,增肥,One,-220.00,TWD,牛排
2016-07-20 18:27:31,增肥,One,-99.00,TWD,Subway
2016-07-20 22:44:36,增肥,One,-140.00,TWD,可口豬腳
2016-07-21 14:20:27,增肥,One,-230.00,TWD,晚餐
2016-07-21 18:53:50,增肥,One,-99.00,TWD,Subway
2016-07-22 00:00:00,增肥,One,-90.00,TWD,中餐
2016-07-23 21:03:20,補給,One,1500.00,TWD,From Dad
2016-07-24 16:38:43,增肥,One,-99.00,TWD,Subway
2016-07-25 16:21:30,增肥,One,-100.00,TWD,牛肉麵
2016-07-25 22:44:08,增肥,One,-99.00,TWD,Subway
2016-07-26 13:30:55,補給,One,600.00,TWD,晚餐補助
2016-07-26 13:37:51,增肥,One,-75.00,TWD,中餐
2016-07-26 13:38:00,增肥,One,-25.00,TWD,飲料
2016-07-26 13:38:06,一起,One,-40.00,TWD,停車費
2016-07-26 20:54:22,增肥,One,-230.00,TWD,晚餐
2016-07-27 08:45:28,增肥,One,-65.00,TWD,鹹酥雞
2016-07-27 08:45:28,增肥,One,-10.00,TWD,Fin
2016-07-27 08:45:28,增肥,One,-60.00,TWD,餛飩麵
2016-07-27 18:16:31,增肥,One,-99.00,TWD,Subway
2016-07-27 20:54:22,增肥,One,-65.00,TWD,早餐
2016-07-27 22:19:48,增肥,One,-39.00,TWD,美麗果
2016-07-28 08:49:50,一起,One,-25.00,TWD,
2016-07-28 10:15:23,增肥,One,-25.00,TWD,早餐
2016-07-28 11:50:57,增肥,One,-99.00,TWD,Subway
2016-07-28 18:49:11,增肥,One,-105.00,TWD,晚餐
2016-07-28 18:49:18,一起,One,-25.00,TWD,
2016-07-28 18:54:58,增肥,One,-50.00,TWD,Come buy
2016-07-29 09:51:23,增肥,One,-68.00,TWD,早餐
2016-07-29 13:29:33,增肥,One,-99.00,TWD,Subway
2016-07-30 01:29:49,增肥,One,-160.00,TWD,燒烤
2016-07-30 01:30:10,增肥,One,-80.00,TWD,冰
2016-07-30 01:30:25,增肥,One,-80.00,TWD,臭豆腐，大腸麵線
2016-07-30 01:30:44,一起,One,-60.00,TWD,停車費
2016-07-30 13:29:21,增肥,One,-370.00,TWD,麥當勞
2016-07-30 13:29:33,增肥,One,-400.00,TWD,啤酒
2016-07-30 13:29:37,增肥,One,-66.00,TWD,早餐
2016-07-31 00:00:00,增肥,One,-99.00,TWD,Subway
2016-08-01 13:22:25,該死,One,-2500.00,TWD,Cigarettes
2016-08-02 13:24:35,增肥,One,-110.00,TWD,牛肉麵
2016-08-02 22:14:33,增肥,One,-99.00,TWD,Subway
2016-08-02 23:17:12,增肥,One,-135.00,TWD,宵夜
2016-08-03 11:34:50,增肥,One,-35.00,TWD,Beer
2016-08-03 11:38:10,苦口,One,-40.00,TWD,
2016-08-03 11:38:10,苦口,One,-150.00,TWD,
2016-08-03 12:26:48,增肥,One,-125.00,TWD,中餐
2016-08-03 16:47:03,增肥,One,-50.00,TWD,飲料
2016-08-03 16:47:03,增肥,One,-89.00,TWD,Subway
2016-08-04 10:58:34,增肥,One,-89.00,TWD,Subway
2016-08-04 13:30:23,增肥,One,-91.00,TWD,早午餐
2016-08-04 13:30:23,頭暈,One,-438.00,TWD,剪頭髮
2016-08-04 22:41:49,增肥,One,-60.00,TWD,白砂糖
2016-08-05 11:08:09,增肥,One,-179.00,TWD,Subway
2016-08-06 19:13:23,增肥,One,-55.00,TWD,
2016-08-06 20:40:55,增肥,One,-800.00,TWD,清粥小菜
2016-08-07 18:08:32,該死,One,-250.00,TWD,門票
2016-08-07 18:08:32,增肥,One,-140.00,TWD,早餐
2016-08-07 18:08:32,增肥,One,-145.00,TWD,中餐
2016-08-07 21:04:20,增肥,One,-1300.00,TWD,酒錢，宜蘭錢，餐費
2016-08-07 21:04:20,增肥,One,-50.00,TWD,
2016-08-07 21:15:04,一起,One,-105.00,TWD,停車費
2016-08-08 08:49:18,增肥,One,-99.00,TWD,Subway
2016-08-08 11:15:02,增肥,One,-131.00,TWD,早餐
2016-08-09 09:37:41,增肥,One,-35.00,TWD,早餐
2016-08-09 11:49:28,增肥,One,-99.00,TWD,Subway
2016-08-10 09:00:17,增肥,One,-99.00,TWD,Subway
2016-08-10 09:00:17,增肥,One,-379.00,TWD,KFC
2016-08-10 09:48:29,增肥,One,-28.00,TWD,
2016-08-11 10:02:13,該死,One,-1800.00,TWD,Cigarettes
2016-08-12 10:30:42,補給,One,100.00,TWD,From Emma
2016-08-12 22:18:22,補給,One,350.00,TWD,
2016-08-13 13:36:14,增肥,One,-165.00,TWD,
2016-08-13 13:36:14,增肥,One,-99.00,TWD,Subway
2016-08-14 22:53:07,增肥,One,-100.00,TWD,白砂糖
2016-08-14 22:53:07,增肥,One,-99.00,TWD,Subway
2016-08-15 13:28:29,增肥,One,-100.00,TWD,中餐
2016-08-15 16:35:19,增肥,One,-89.00,TWD,Subway
2016-08-16 16:24:44,增肥,One,-100.00,TWD,早餐
2016-08-16 16:24:44,增肥,One,-99.00,TWD,Subway
2016-08-16 22:46:36,增肥,One,-110.00,TWD,鹹酥雞
2016-08-17 09:13:50,增肥,One,-220.00,TWD,
2016-08-17 09:13:50,增肥,One,-500.00,TWD,水餃
2016-08-18 09:37:26,增肥,One,-100.00,TWD,晚餐
2016-08-18 19:40:51,汽車,One,-1900.00,TWD,違規停車
2016-08-19 10:15:54,增肥,One,-131.00,TWD,早餐
2016-08-19 23:10:52,增肥,One,-99.00,TWD,Subway
2016-08-19 23:57:06,補給,One,50.00,TWD,From 家斌
2016-08-20 22:28:05,增肥,One,-99.00,TWD,Subway
2016-08-21 10:07:26,增肥,One,-235.00,TWD,早餐
2016-08-21 13:18:26,增肥,One,-560.00,TWD,晚餐牛排
2016-08-22 13:18:26,增肥,One,-131.00,TWD,早餐
2016-08-23 14:26:10,增肥,One,-209.00,TWD,Subway
2016-08-24 00:33:45,增肥,One,-100.00,TWD,
2016-08-24 23:11:06,增肥,One,-100.00,TWD,早餐
2016-08-24 23:11:06,增肥,One,-99.00,TWD,Subway
2016-08-25 19:49:44,增肥,One,-28.00,TWD,
2016-08-25 19:49:44,增肥,One,-138.00,TWD,
2016-08-26 07:40:52,增肥,One,-90.00,TWD,晚餐
2016-08-26 09:25:59,增肥,One,-65.00,TWD,早餐
2016-08-27 07:40:35,增肥,One,-163.00,TWD,早餐
2016-08-30 09:53:32,增肥,One,-95.00,TWD,晚餐
2016-08-30 18:06:26,增肥,One,-75.00,TWD,中餐
2016-08-31 14:03:42,一起,One,-180.00,TWD,內胎
2016-08-31 21:36:16,增肥,One,-150.00,TWD,晚餐
2016-09-01 09:21:28,增肥,One,-40.00,TWD,
2016-09-01 13:42:33,增肥,One,-70.00,TWD,中餐
2016-09-01 13:42:50,一起,One,-10.00,TWD,停車費
2016-09-01 22:11:55,補給,One,200.00,TWD,From Emma
2016-09-01 22:11:55,增肥,One,-155.00,TWD,
2016-09-02 17:53:34,增肥,One,-99.00,TWD,Subway
2016-09-03 16:29:46,增肥,One,-99.00,TWD,Subway
2016-09-03 23:33:34,增肥,One,-250.00,TWD,五十嵐
2016-09-03 23:34:08,帳單,One,-1000.00,TWD,千涵婚禮禮金
2016-09-04 00:30:39,增肥,One,-99.00,TWD,Subway
2016-09-04 00:30:39,帳單,One,-90.00,TWD,置物櫃
2016-09-04 13:40:21,增肥,One,-80.00,TWD,中餐
2016-09-05 21:05:46,增肥,One,-99.00,TWD,Subway
2016-09-05 21:05:59,增肥,One,-62.00,TWD,Smith&Hsu
2016-09-06 09:58:21,增肥,One,-99.00,TWD,Subway
2016-09-06 13:09:50,增肥,One,-100.00,TWD,牛肉麵
2016-09-09 12:38:04,增肥,One,-100.00,TWD,早餐
2016-09-09 21:26:58,增肥,One,-250.00,TWD,
2016-09-09 21:27:08,增肥,One,-85.00,TWD,
2016-09-10 20:35:17,增肥,One,-70.00,TWD,中餐
2016-09-11 11:17:23,遮羞,One,-438.00,TWD,剪頭髮
2016-09-11 13:12:16,增肥,One,-201.00,TWD,
2016-09-11 13:12:25,補給,One,50.00,TWD,
2016-09-11 13:54:39,汽車,One,-850.00,TWD,電瓶
2016-09-11 13:56:24,汽車,One,-100.00,TWD,內襯
2016-09-11 22:55:44,增肥,One,-65.00,TWD,
2016-09-12 13:55:42,增肥,One,-95.00,TWD,
2016-09-13 22:22:26,增肥,One,-95.00,TWD,晚餐
2016-09-14 15:36:50,增肥,One,-90.00,TWD,
2016-09-16 21:07:27,增肥,One,-78.00,TWD,
2016-09-17 16:17:26,遮羞,One,-1400.00,TWD,Timberland
2016-09-18 19:39:20,增肥,One,-540.00,TWD,晚餐
2016-09-18 20:37:45,補給,One,400.00,TWD,From Emma
2016-09-19 21:04:59,增肥,One,-105.00,TWD,豬腳便當
2016-09-21 00:56:06,增肥,One,-40.00,TWD,早餐
2016-09-23 10:31:05,增肥,One,-200.00,TWD,
2016-09-24 10:31:05,苦口,One,-190.00,TWD,
2016-09-24 11:31:26,增肥,One,-105.00,TWD,
2016-09-24 18:09:39,遮羞,One,-1000.00,TWD,改衣服
2016-09-25 19:43:22,增肥,One,-280.00,TWD,小公館咖啡
2016-09-26 13:25:34,增肥,One,-91.00,TWD,中餐
2016-09-26 23:27:54,增肥,One,-265.00,TWD,晚餐
2016-09-28 00:07:41,一起,One,-500.00,TWD,eTag
2016-09-28 00:08:01,增肥,One,-23.00,TWD,
2016-09-28 00:08:22,帳單,One,-247.00,TWD,
2016-09-28 09:35:57,增肥,One,-300.00,TWD,茶水攤
2016-09-28 14:03:59,該死,One,-1200.00,TWD,KTV
2016-09-28 16:21:31,補給,One,600.00,TWD,Emma KTV
2016-09-28 16:21:31,增肥,One,-450.00,TWD,中餐
2016-09-28 16:21:31,補給,One,200.00,TWD,Emma 中餐
2016-09-29 12:21:00,增肥,One,-75.00,TWD,
2016-09-29 23:47:17,增肥,One,-100.00,TWD,
2016-09-30 19:41:03,增肥,One,-140.00,TWD,
2016-09-30 22:21:11,遮羞,One,-2000.00,TWD,送洗衣物，從媽媽的8w扣
2016-10-01 00:00:00,增肥,One,-65.00,TWD,士林馬鈴薯
2016-10-01 11:16:10,增肥,One,-230.00,TWD,晚餐
2016-10-02 20:08:31,增肥,One,-440.00,TWD,早餐加晚餐
2016-10-03 16:07:46,增肥,One,-70.00,TWD,中餐
2016-10-03 16:07:57,增肥,One,-25.00,TWD,飲料
2016-10-05 12:42:20,增肥,One,-180.00,TWD,中餐
2016-10-05 22:22:22,增肥,One,-65.00,TWD,宵夜
2016-10-05 22:22:42,帳單,One,-500.00,TWD,貨車運費
2016-10-06 13:52:13,增肥,One,-75.00,TWD,中餐
2016-10-06 21:57:45,增肥,One,-125.00,TWD,小籠包
2016-10-06 21:57:55,增肥,One,-49.00,TWD,
2016-10-07 13:50:21,增肥,One,-75.00,TWD,
2016-10-07 20:54:50,補給,One,500.00,TWD,補給運費
2016-10-08 23:42:52,增肥,One,-240.00,TWD,小公館
2016-10-10 14:18:31,增肥,One,-110.00,TWD,牛肉麵
2016-10-11 10:14:53,增肥,One,-119.00,TWD,麥噹噹
2016-10-11 19:35:08,增肥,One,-100.00,TWD,
2016-10-12 15:26:23,增肥,One,-50.00,TWD,麥噹噹
2016-10-12 18:19:07,該死,One,-700.00,TWD,Cigarettes
2016-10-13 00:14:00,增肥,One,-140.00,TWD,
2016-10-13 11:37:14,增肥,One,-55.00,TWD,麥噹噹
2016-10-13 11:41:00,遮羞,One,-438.00,TWD,剪頭髮
2016-10-14 00:00:00,增肥,One,-270.00,TWD,燒烤
2016-10-14 00:00:00,增肥,One,-40.00,TWD,仙草蜜
2016-10-14 17:32:51,汽車,One,-5850.00,TWD,鈑金
2016-10-14 17:33:02,增肥,One,-30.00,TWD,品客
2016-10-14 17:33:10,增肥,One,-20.00,TWD,麥茶
2016-10-15 12:59:42,補給,One,160.00,TWD,
2016-10-15 13:00:04,補給,One,200.00,TWD,
2016-10-15 14:32:14,增肥,One,-438.00,TWD,早餐
2016-10-15 20:48:27,增肥,One,-150.00,TWD,創咖啡
2016-10-15 23:50:20,增肥,One,-395.00,TWD,燒烤
2016-10-15 23:50:42,增肥,One,-50.00,TWD,地瓜球
2016-10-15 23:50:50,增肥,One,-50.00,TWD,紅茶牛奶
2016-10-15 23:54:13,補給,One,450.00,TWD,From Emma
2016-10-16 18:54:08,增肥,One,-100.00,TWD,中餐
2016-10-16 20:36:20,增肥,One,-610.00,TWD,晚餐
2016-10-16 22:06:13,增肥,One,-38.00,TWD,森永牛奶
2016-10-17 21:59:20,增肥,One,-40.00,TWD,早餐
2016-10-17 21:59:20,增肥,One,-305.00,TWD,晚餐
2016-10-17 21:59:20,補給,One,200.00,TWD,From Emma
2016-10-17 21:59:20,增肥,One,-145.00,TWD,下午咖啡
2016-10-17 22:00:26,補給,One,3000.00,TWD,From Mom
2016-10-18 15:48:42,增肥,One,-105.00,TWD,陳三鼎
2016-10-19 13:18:38,增肥,One,-100.00,TWD,牛肉麵
2016-10-19 21:21:37,增肥,One,-40.00,TWD,肉圓
2016-10-19 21:21:51,增肥,One,-180.00,TWD,雞絲飯
2016-10-19 21:22:05,增肥,One,-100.00,TWD,麻糬
2016-10-20 15:18:56,增肥,One,-179.00,TWD,麥噹噹
2016-10-21 09:09:42,增肥,One,-100.00,TWD,早餐
2016-10-21 14:07:06,增肥,One,-120.00,TWD,
2016-10-23 11:32:27,增肥,One,-120.00,TWD,早餐
2016-10-24 17:15:36,增肥,One,-198.00,TWD,咖啡
2016-10-24 17:15:50,增肥,One,-80.00,TWD,中餐
2016-10-25 18:13:10,增肥,One,-110.00,TWD,牛肉麵
2016-10-25 18:21:13,增肥,One,-199.00,TWD,蛋糕
2016-10-26 00:00:00,增肥,One,-50.00,TWD,餛飩麵
2016-10-26 10:33:52,增肥,One,-160.00,TWD,麥噹噹
2016-10-27 16:20:22,增肥,One,-120.00,TWD,牛肉麵
2016-10-27 19:46:33,增肥,One,-30.00,TWD,白飯
2016-10-28 04:09:13,增肥,One,-179.00,TWD,麥噹噹
2016-10-28 04:09:13,汽暖,One,-70.00,TWD,
2016-10-29 10:18:30,增肥,One,-170.00,TWD,
2016-10-29 20:28:58,該死,One,-95.00,TWD,Cigarettes
2016-10-30 00:57:09,增肥,One,-109.00,TWD,Costco 牛肉捲+飲料
2016-10-30 00:57:09,增肥,One,-1401.00,TWD,Costco 牛肉+咖哩粉+衛生紙
2016-10-31 09:30:57,增肥,One,-131.00,TWD,麥噹噹
2016-10-31 09:31:09,頭暈,One,-260.00,TWD,牙齒美白
2016-11-01 17:58:32,增肥,One,-50.00,TWD,雙Q奶茶
2016-11-01 20:14:15,增肥,One,-240.00,TWD,火鍋
2016-11-01 20:14:30,補給,One,1000.00,TWD,From Emma
2016-11-02 12:56:46,增肥,One,-117.00,TWD,早餐
2016-11-02 18:48:04,增肥,One,-250.00,TWD,晚餐
2016-11-02 20:56:03,增肥,One,-62.00,TWD,
2016-11-03 12:18:59,增肥,One,-226.00,TWD,
2016-11-03 17:56:26,增肥,One,-90.00,TWD,晚餐
2016-11-03 17:56:26,補給,One,65.00,TWD,別人補我錢
2016-11-04 15:21:04,增肥,One,-179.00,TWD,麥噹噹
2016-11-05 12:11:10,苦口,One,-240.00,TWD,拿過敏藥
2016-11-05 12:11:32,增肥,One,-105.00,TWD,早餐
2016-11-05 18:44:21,補給,One,250.00,TWD,
2016-11-05 20:44:56,增肥,One,-200.00,TWD,微笑的魚
2016-11-06 16:16:16,汽車,One,-120.00,TWD,洗車
2016-11-06 23:10:30,增肥,One,-75.00,TWD,
2016-11-07 00:16:29,帳單,One,-150.00,TWD,PP板
2016-11-07 18:56:34,增肥,One,-140.00,TWD,麥噹噹
2016-11-08 17:07:50,增肥,One,-55.00,TWD,咖啡
2016-11-09 14:04:00,增肥,One,-86.00,TWD,中餐
2016-11-09 21:17:55,增肥,One,-160.00,TWD,
2016-11-09 21:17:55,遮羞,One,-438.00,TWD,
2016-11-10 20:19:43,增肥,One,-290.00,TWD,
2016-11-10 22:13:18,補給,One,300.00,TWD,
2016-11-11 10:15:32,增肥,One,-28.00,TWD,
2016-11-11 21:31:24,增肥,One,-110.00,TWD,燒烤
2016-11-11 21:31:30,增肥,One,-60.00,TWD,啤酒
2016-11-12 21:27:31,補給,One,1000.00,TWD,
2016-11-14 09:15:13,增肥,One,-130.00,TWD,麥噹噹
2016-11-14 18:38:00,增肥,One,-180.00,TWD,餛飩麵
2016-11-16 16:44:07,增肥,One,-110.00,TWD,早餐
2016-11-16 19:46:35,增肥,One,-240.00,TWD,
2016-11-17 22:58:13,增肥,One,-38.00,TWD,
2016-11-17 23:43:06,增肥,One,-110.00,TWD,
2016-11-18 20:25:14,增肥,One,-420.00,TWD,諾貝爾
2016-11-19 09:32:56,苦口,One,-240.00,TWD,
2016-11-19 10:24:15,增肥,One,-578.00,TWD,早餐
2016-11-19 11:37:03,補給,One,250.00,TWD,
2016-11-20 19:14:58,汽車,One,-70.00,TWD,洗車
2016-11-20 19:25:27,增肥,One,-65.00,TWD,
2016-11-21 01:10:25,補給,One,100.00,TWD,
2016-11-21 14:34:16,增肥,One,-100.00,TWD,
2016-11-22 08:29:29,增肥,One,-575.00,TWD,
2016-11-22 08:29:29,增肥,One,-70.00,TWD,
2016-11-22 18:35:47,補給,One,500.00,TWD,
2016-11-24 10:53:35,汽車,One,-1206.00,TWD,罰單
2016-11-24 13:54:10,增肥,One,-110.00,TWD,
2016-11-24 18:35:47,增肥,One,-390.00,TWD,Mos Burger
2016-11-25 01:38:26,增肥,One,-70.00,TWD,
2016-11-26 01:38:26,該死,One,-200.00,TWD,
2016-11-28 09:34:28,增肥,One,-814.00,TWD,
2016-11-28 12:11:46,增肥,One,-98.00,TWD,麥噹噹
2016-11-29 09:34:28,增肥,One,-98.00,TWD,
2016-11-29 20:53:09,增肥,One,-90.00,TWD,
2016-11-29 23:12:01,增肥,One,-52.00,TWD,
2016-11-30 06:41:28,補給,One,2000.00,TWD,
2016-12-01 11:49:41,增肥,One,-105.00,TWD,
2016-12-01 21:11:12,增肥,One,-682.00,TWD,
2016-12-02 09:38:23,增肥,One,-68.00,TWD,麥噹噹
2016-12-03 13:25:00,增肥,One,-200.00,TWD,
2016-12-06 13:33:20,增肥,One,-105.00,TWD,
2016-12-07 18:17:08,增肥,One,-60.00,TWD,
2016-12-07 18:17:08,增肥,One,-56.00,TWD,
2016-12-07 18:20:33,帳單,One,-1551.00,TWD,勞保
2016-12-07 22:04:35,帳單,One,-250.00,TWD,
2016-12-08 00:39:15,增肥,One,-590.00,TWD,
2016-12-08 12:27:20,增肥,One,-60.00,TWD,
2016-12-09 15:55:58,增肥,One,-86.00,TWD,
2016-12-10 13:41:42,增肥,One,-720.00,TWD,
2016-12-12 13:38:38,增肥,One,-56.00,TWD,
2016-12-12 18:12:49,遮羞,One,-2500.00,TWD,包包客製
2016-12-12 18:12:49,頭暈,One,-438.00,TWD,
2016-12-12 18:12:49,增肥,One,-70.00,TWD,
2016-12-12 20:27:44,增肥,One,-158.00,TWD,
2016-12-13 16:05:32,帳單,One,-4.00,TWD,
2016-12-13 22:36:17,增肥,One,-160.00,TWD,
2016-12-13 22:36:26,增肥,One,-55.00,TWD,
2016-12-14 09:55:41,增肥,One,-132.00,TWD,麥噹噹
2016-12-14 22:01:34,增肥,One,-400.00,TWD,
2016-12-14 22:02:37,增肥,One,-110.00,TWD,
2016-12-15 00:00:00,補給,One,2000.00,TWD,From Emma
2016-12-15 00:00:00,帳單,One,-1550.00,TWD,瓦斯
2016-12-15 12:22:44,增肥,One,-179.00,TWD,
2016-12-15 19:16:42,補給,One,16000.00,TWD,From Mom and Dad
2016-12-15 22:02:57,增肥,One,-140.00,TWD,
2016-12-16 10:10:30,帳單,One,-36.00,TWD,
2016-12-16 10:10:39,該死,One,-95.00,TWD,
2016-12-16 10:10:59,增肥,One,-22.00,TWD,
2016-12-16 20:58:28,補給,One,170.00,TWD,From Emma
2016-12-19 15:08:11,該死,One,-115.00,TWD,
2016-12-19 20:55:14,增肥,One,-115.00,TWD,
2016-12-20 15:00:48,增肥,One,-50.00,TWD,
2016-12-20 15:00:55,增肥,One,-70.00,TWD,
2016-12-21 10:47:39,增肥,One,-130.00,TWD,
2016-12-21 13:21:48,增肥,One,-30.00,TWD,
2016-12-22 11:55:18,增肥,One,-70.00,TWD,
2016-12-22 11:58:53,增肥,One,-80.00,TWD,
2016-12-22 20:00:10,增肥,One,-600.00,TWD,
2016-12-23 09:32:01,苦口,One,-240.00,TWD,
2016-12-23 09:32:08,增肥,One,-220.00,TWD,早餐
2016-12-23 12:24:06,增肥,One,-30.00,TWD,綠豆沙
2016-12-23 12:34:09,增肥,One,-100.00,TWD,麻糬
2016-12-23 13:20:04,增肥,One,-350.00,TWD,黑豆茶
2016-12-23 13:20:06,增肥,One,-85.00,TWD,中餐
2016-12-23 18:13:54,增肥,One,-60.00,TWD,霸丸
2016-12-23 18:13:54,增肥,One,-55.00,TWD,魯肉飯
2016-12-23 18:40:39,增肥,One,-120.00,TWD,粥饌
